17:23:14 [Makine görselleri eklendi] Managed: 2 MB | Process: 271 MB
17:23:14 [Otomatik tablolar eklendi] Managed: 2 MB | Process: 271 MB
17:23:16 [Bölge 1 - Risk 27 (Risk 1) eklendi] Managed: 2 MB | Process: 258 MB
17:23:16 [Bölge 1 - Risk 28 (Risk 2) eklendi] Managed: 2 MB | Process: 258 MB
17:23:16 [Bölge 1 - Risk 29 (Risk 3) eklendi] Managed: 2 MB | Process: 258 MB
17:23:16 [Bölge 1 - Risk 30 (Risk 4) eklendi] Managed: 2 MB | Process: 204 MB
17:23:16 [Bölge 1 - Risk 31 (Risk 5) eklendi] Managed: 2 MB | Process: 204 MB
17:23:16 [Bölge 1 - Risk 32 (Risk 6) eklendi] Managed: 2 MB | Process: 204 MB
17:23:16 [Bölge 1 - Risk 33 (Risk 7) eklendi] Managed: 2 MB | Process: 204 MB
17:23:16 [Bölge 1 - Risk 34 (Risk 8) eklendi] Managed: 2 MB | Process: 205 MB
17:23:16 [Bölge 1 - Risk 35 (Risk 9) eklendi] Managed: 2 MB | Process: 205 MB
17:23:16 [Bölge 1 - Risk 36 (Risk 10) eklendi] Managed: 2 MB | Process: 205 MB
17:23:16 [Bölge 1 - Risk 37 (Risk 11) eklendi] Managed: 2 MB | Process: 205 MB
17:23:16 [Bölge 1 - Risk 38 (Risk 12) eklendi] Managed: 2 MB | Process: 205 MB
17:23:16 [AltChunk ile birleştirme başlıyor] Managed: 2 MB | Process: 205 MB
17:23:18 [AltChunk ile birleştirme bitti (Rapor tamamlandı)] Managed: 2 MB | Process: 306 MB
17:23:19 [Temp dosyalar silindi (İşlem bitti)] Managed: 2 MB | Process: 306 MB
17:32:46 [Başlangıç] Managed: 1 MB | Process: 144 MB
17:32:46 [Kapak hazırlandı] Managed: 1 MB | Process: 153 MB
17:32:46 [Revizyon Tablosu hazırlandı] Managed: 1 MB | Process: 153 MB
17:32:46 [İncelenen Dökümanlar hazırlandı] Managed: 1 MB | Process: 154 MB
17:32:46 [Header/Footer hazırlandı] Managed: 1 MB | Process: 154 MB
17:32:46 [Makine görselleri eklendi] Managed: 1 MB | Process: 154 MB
17:32:46 [Otomatik tablolar eklendi] Managed: 1 MB | Process: 155 MB
17:32:49 [Bölge 1 - Risk 27 (Risk 1) eklendi] Managed: 2 MB | Process: 222 MB
17:32:49 [Bölge 1 - Risk 28 (Risk 2) eklendi] Managed: 2 MB | Process: 222 MB
17:32:49 [Bölge 1 - Risk 29 (Risk 3) eklendi] Managed: 2 MB | Process: 193 MB
17:32:49 [Bölge 1 - Risk 30 (Risk 4) eklendi] Managed: 2 MB | Process: 172 MB
17:32:49 [Bölge 1 - Risk 31 (Risk 5) eklendi] Managed: 2 MB | Process: 176 MB
17:32:49 [Bölge 1 - Risk 32 (Risk 6) eklendi] Managed: 2 MB | Process: 176 MB
17:32:49 [Bölge 1 - Risk 33 (Risk 7) eklendi] Managed: 2 MB | Process: 176 MB
17:32:49 [Bölge 1 - Risk 34 (Risk 8) eklendi] Managed: 2 MB | Process: 176 MB
17:32:50 [Bölge 1 - Risk 35 (Risk 9) eklendi] Managed: 2 MB | Process: 176 MB
17:32:50 [Bölge 1 - Risk 36 (Risk 10) eklendi] Managed: 2 MB | Process: 176 MB
17:32:50 [Bölge 1 - Risk 37 (Risk 11) eklendi] Managed: 2 MB | Process: 176 MB
17:32:50 [Bölge 1 - Risk 38 (Risk 12) eklendi] Managed: 2 MB | Process: 176 MB
17:32:50 [AltChunk ile birleştirme başlıyor] Managed: 2 MB | Process: 176 MB
17:32:52 [AltChunk ile birleştirme bitti (Rapor tamamlandı)] Managed: 1 MB | Process: 309 MB
17:32:52 [Temp dosyalar silindi (İşlem bitti)] Managed: 1 MB | Process: 309 MB
17:34:43 [Başlangıç] Managed: 1 MB | Process: 149 MB
17:34:43 [Kapak hazırlandı] Managed: 1 MB | Process: 157 MB
17:34:43 [Revizyon Tablosu hazırlandı] Managed: 1 MB | Process: 158 MB
17:34:43 [İncelenen Dökümanlar hazırlandı] Managed: 1 MB | Process: 158 MB
